exterior_color,interior_color,location,make,model,mileage,style,year,engine,accidentCount,ownerCount,isCleanTitle,isFrameDamaged,isLemon,isSalvage,isTheftRecovered,price
Black,Black,"Lodi, NJ",Porsche,Cayenne,78580,"Tiptronic AWD",2014,"3.6L V-6 Gas",0,1,1,0,0,0,0,23895.0
Bronze,Beige,"Garfield, NJ",Porsche,Cayenne,81748,"Tiptronic AWD",2013,"3.6L V-6 Gas",0,2,1,0,0,0,0,21995.0
Black,Black,"Brooklyn, NY",Porsche,Cayenne,101605,"Tiptronic AWD",2008,"3.6L V-6 Gas",1,2,1,0,0,0,0,12450.0
"Rhodium Silver Metallic",Black,"Jamaica, NY",Porsche,Cayenne,42723,AWD,2016,"3.6L V-6 Gas",0,2,1,0,0,0,0,37370.0
Blue,Tan,"Brooklyn, NY",Porsche,Cayenne,129237,"Tiptronic AWD",2011,"3.6L V-6 Gas",1,3,1,0,0,0,0,15950.0
Yw,Black,"New York, NY",Porsche,911,561,"Turbo S",2018,"3.8L Flat-6 Gas Turbocharged",0,2,1,0,0,0,0,289500.0
Blue,Black,"Bergenfield, NJ",Porsche,Panamera,70051,4,2011,"3.6L V-6 Gas",0,1,1,0,0,0,0,34995.0
"Aqua Blue Metallic","Agate Grey","Jersey City, NJ",Porsche,Boxster,97573,Roadster,2013,"2.7L Flat-6 Gas",0,1,1,0,0,0,0,28980.0
Silver,Black,"Parsippany, NJ",Porsche,911,75628,"Turbo S Cabriolet",2005,"3.6L Flat-6 Gas Turbocharged",2,4,1,0,0,0,0,48995.0
"Jet Black Metallic",Black,"Hillside, NJ",Porsche,Cayenne,81755,"S Hybrid AWD",2014,"3.0L V-6 Hybrid Supercharged",1,2,1,0,0,0,0,27333.0
"Sapphire Blue Metallic",Black,"Springfield Township, NJ",Porsche,Macan,51942,AWD,2017,"2.0L Inline-4 Gas Turbocharged",0,1,1,0,0,0,0,39333.0
Black,Black,"East Hartford, CT",Porsche,Panamera,65404,Turbo,2013,"4.8L V-8 Gas Turbocharged",1,2,1,0,0,0,0,45250.0
White,Black,"Butler, NJ",Porsche,911,36495,"Turbo S",2011,"3.8L Flat-6 Gas Turbocharged",0,5,1,0,0,0,0,99995.0
Black,Black,"Mt. Kisco, NY",Porsche,Macan,34531,"GTS AWD",2018,"3.0L V-6 Gas Turbocharged",0,1,1,0,0,0,0,60981.0
